id,announcementId,memberId,createdAt
1,2,2,2025-12-29 13:08:10
30001,30001,2,2025-12-29 14:19:48
30002,30001,1,2025-12-29 14:19:48
30003,30001,30001,2025-12-29 14:19:48
30004,30001,30002,2025-12-29 14:19:48
30005,30001,30003,2025-12-29 14:19:48
30006,30001,30004,2025-12-29 14:19:48
30007,30001,30005,2025-12-29 14:19:48
30008,30001,30006,2025-12-29 14:19:48
30009,30001,30007,2025-12-29 14:19:48
30010,30001,30008,2025-12-29 14:19:48
30011,30001,30010,2025-12-29 14:19:48
30012,30001,30012,2025-12-29 14:19:48
30013,30001,30013,2025-12-29 14:19:48
30014,30001,30014,2025-12-29 14:19:48
30015,30001,30015,2025-12-29 14:19:48
30016,30001,30016,2025-12-29 14:19:48
30017,30001,30017,2025-12-29 14:19:48
30018,30001,30018,2025-12-29 14:19:48
30019,30001,60002,2025-12-29 14:19:48
30020,30001,60003,2025-12-29 14:19:48
60001,60001,30015,2025-12-30 01:06:14
60002,60001,30016,2025-12-30 01:06:14
60003,60001,30001,2025-12-30 01:06:14
60004,60001,30012,2025-12-30 01:06:14
60005,60001,60001,2025-12-30 01:06:14
60006,60001,2,2025-12-30 01:06:14
60007,60001,1,2025-12-30 01:06:14
60008,60001,60003,2025-12-30 01:06:14
60009,60001,30006,2025-12-30 01:06:14
60010,60001,30013,2025-12-30 01:06:14
60011,60001,30011,2025-12-30 01:06:14
60012,60001,30009,2025-12-30 01:06:14
60013,60001,30003,2025-12-30 01:06:14
60014,60001,30004,2025-12-30 01:06:14
60015,60001,30005,2025-12-30 01:06:14
60016,60001,30017,2025-12-30 01:06:14
60017,60001,30008,2025-12-30 01:06:14
60018,60001,60002,2025-12-30 01:06:14
60019,60001,30002,2025-12-30 01:06:14
60020,60001,30018,2025-12-30 01:06:14
60021,60001,30007,2025-12-30 01:06:14
60022,60001,30010,2025-12-30 01:06:14
60023,60001,30014,2025-12-30 01:06:14
90001,90001,90010,2025-12-30 11:14:07
90002,90001,30015,2025-12-30 11:14:07
90003,90001,30016,2025-12-30 11:14:07
90004,90001,90013,2025-12-30 11:14:07
90005,90001,30001,2025-12-30 11:14:07
90006,90001,30012,2025-12-30 11:14:07
90007,90001,60001,2025-12-30 11:14:07
90008,90001,90011,2025-12-30 11:14:08
90009,90001,90017,2025-12-30 11:14:08
90010,90001,90004,2025-12-30 11:14:08
90011,90001,2,2025-12-30 11:14:08
90012,90001,1,2025-12-30 11:14:08
90013,90001,60003,2025-12-30 11:14:08
90014,90001,30006,2025-12-30 11:14:08
90015,90001,30013,2025-12-30 11:14:08
90016,90001,30011,2025-12-30 11:14:08
90017,90001,30009,2025-12-30 11:14:08
90018,90001,30003,2025-12-30 11:14:08
90019,90001,90009,2025-12-30 11:14:08
90020,90001,30004,2025-12-30 11:14:08
90021,90001,30005,2025-12-30 11:14:08
90022,90001,90001,2025-12-30 11:14:08
90023,90001,90018,2025-12-30 11:14:08
90024,90001,30017,2025-12-30 11:14:08
90025,90001,90015,2025-12-30 11:14:08
90026,90001,90014,2025-12-30 11:14:08
90027,90001,30008,2025-12-30 11:14:08
90028,90001,90007,2025-12-30 11:14:08
90029,90001,90012,2025-12-30 11:14:08
90030,90001,90003,2025-12-30 11:14:08
90031,90001,90006,2025-12-30 11:14:08
90032,90001,60002,2025-12-30 11:14:08
90033,90001,90002,2025-12-30 11:14:08
90034,90001,90016,2025-12-30 11:14:08
90035,90001,30002,2025-12-30 11:14:08
90036,90001,90005,2025-12-30 11:14:08
90037,90001,90008,2025-12-30 11:14:08
90038,90001,30018,2025-12-30 11:14:08
90039,90001,30007,2025-12-30 11:14:08
90040,90001,30010,2025-12-30 11:14:08
90041,90001,30014,2025-12-30 11:14:08
120001,120001,90010,2025-12-30 19:33:01
120002,120001,30015,2025-12-30 19:33:01
120003,120001,30016,2025-12-30 19:33:01
120004,120001,90013,2025-12-30 19:33:01
120005,120001,30001,2025-12-30 19:33:01
120006,120001,30012,2025-12-30 19:33:01
120007,120001,60001,2025-12-30 19:33:01
120008,120001,90017,2025-12-30 19:33:01
120009,120001,90004,2025-12-30 19:33:01
120010,120001,2,2025-12-30 19:33:01
120011,120001,1,2025-12-30 19:33:01
120012,120001,60003,2025-12-30 19:33:01
120013,120001,30006,2025-12-30 19:33:01
120014,120001,30013,2025-12-30 19:33:01
120015,120001,30011,2025-12-30 19:33:01
120016,120001,30009,2025-12-30 19:33:01
120017,120001,30003,2025-12-30 19:33:01
120018,120001,90009,2025-12-30 19:33:01
120019,120001,30004,2025-12-30 19:33:01
120020,120001,30005,2025-12-30 19:33:01
120021,120001,90001,2025-12-30 19:33:01
120022,120001,90018,2025-12-30 19:33:01
120023,120001,30017,2025-12-30 19:33:01
120024,120001,90015,2025-12-30 19:33:01
120025,120001,90014,2025-12-30 19:33:01
120026,120001,30008,2025-12-30 19:33:01
120027,120001,90007,2025-12-30 19:33:01
120028,120001,90012,2025-12-30 19:33:01
120029,120001,90003,2025-12-30 19:33:01
120030,120001,90006,2025-12-30 19:33:01
120031,120001,60002,2025-12-30 19:33:01
120032,120001,90002,2025-12-30 19:33:01
120033,120001,90016,2025-12-30 19:33:01
120034,120001,30002,2025-12-30 19:33:01
120035,120001,90005,2025-12-30 19:33:01
120036,120001,90008,2025-12-30 19:33:01
120037,120001,30018,2025-12-30 19:33:01
120038,120001,30007,2025-12-30 19:33:01
120039,120001,30010,2025-12-30 19:33:01
120040,120001,30014,2025-12-30 19:33:01
